file name,zero_crossings_rate_mean,zero_crossings_rate_var,spectral_centroid_mean,spectral_centroid_var,Spectral Rolloff_mean,Spectral Rolloff_var,spectral_bandwidth_mean,spectral_bandwidth_var,rms_mean,rms_var,tempo,Chroma features_mean,Chroma features_var,mfcc_mean_a,mfcc_var_a,mfcc_mean_b,mfcc_var_b,mfcc_mean_c,mfcc_var_c,mfcc_mean_d,mfcc_var_d,mfcc_mean_e,mfcc_var_e,mfcc_mean_f,mfcc_var_f,mfcc_mean_g,mfcc_var_g,mfcc_mean_h,mfcc_var_h,mfcc_mean_i,mfcc_var_i,mfcc_mean_j,mfcc_var_j,mfcc_mean_k,mfcc_var_k,mfcc_mean_l,mfcc_var_l,mfcc_mean_m,mfcc_var_m,mfcc_mean_n,mfcc_var_n,mfcc_mean_o,mfcc_var_o,mfcc_mean_p,mfcc_var_p,mfcc_mean_q,mfcc_var_q,mfcc_mean_r,mfcc_var_r,mfcc_mean_s,mfcc_var_s,mfcc_mean_t,mfcc_var_t,genre
D:\Music Genre\THAi3sec/Hiphop\Hiphopth14.wav_1.wav_1.wav,0.07987530048076923,0.002493608124862761,2157.505614291736,839847.9280757558,4711.050743689904,4420755.05486822,2474.59765547204,281431.0965103436,0.16856997764851886,0.0034252587026625697,95.703125,0.45063657,0.082763925,-28.083252,2376.1582,109.46125,1137.4125,11.016249,355.70828,25.90642,131.62102,5.3678694,145.79024,15.84159,65.71269,-10.423997,69.186646,5.5193224,55.003597,-8.406635,103.15242,10.667408,54.37426,-4.734565,42.45036,10.494537,28.85359,-4.9777455,36.45598,2.3865192,55.312958,-7.93905,38.315346,8.344564,27.477734,-10.54872,21.489784,6.8417764,20.397503,-4.305881,40.178493,5.400352,25.953362,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth14.wav_1.wav_2.wav,0.08054762620192307,0.001632614883445424,2014.6681514287377,648272.8435047541,4298.938363882212,3397901.352948726,2307.859039376728,221532.35759904835,0.17869766657592673,0.0024391154927348078,184.5703125,0.39377955,0.08003492,-12.14282,2247.2788,117.22778,1055.1041,0.38356346,263.4209,24.869513,138.04285,0.8731059,60.01272,14.925515,44.966038,-9.424596,76.39583,4.6380515,56.932655,-11.058604,28.528751,13.362194,50.58391,-4.3332434,59.51266,8.092843,32.897663,-7.7406545,25.667429,0.8955884,29.58019,-8.346919,43.73536,9.213101,31.504774,-11.095534,33.648796,6.066222,19.858803,-5.1798196,28.513878,3.8387063,19.787586,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth14.wav_1.wav_3.wav,0.0770733173076923,0.0014726802442200791,2075.759936565766,559550.7426512388,4471.36962890625,2949246.45122794,2358.280844218566,204349.7192855197,0.17396970877474574,0.0033996605898969946,95.703125,0.36236635,0.08950765,-21.29406,2209.6746,111.05597,870.77106,1.4096229,275.2744,29.388844,160.14046,1.1218503,130.83151,10.602808,59.95224,-12.128395,62.194454,4.358032,58.716736,-9.890576,101.79675,10.580667,32.9609,-6.5318637,50.12431,6.664095,45.01192,-3.302765,33.321568,1.160311,44.125736,-7.0487227,29.48385,6.550341,49.009914,-11.43897,32.96641,6.065443,42.69946,-4.9266124,33.62722,3.4124591,32.67396,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth14.wav_1.wav_4.wav,0.09455003004807692,0.004807013745844011,2271.913142774769,902922.6321789448,4810.4347581129805,3410178.9649422,2462.7521525518023,206004.2038051456,0.19924313480504477,0.003178726990604796,95.703125,0.33329678,0.09159216,-12.303874,1385.3438,102.77499,1063.275,8.625895,593.44745,25.348583,175.50175,-1.8048867,185.39558,11.185567,111.77124,-10.510266,84.811775,8.62513,100.96418,-11.323721,81.958595,7.95177,56.36163,-7.459562,89.13085,6.253411,46.718616,-4.5244255,61.156605,3.0507102,79.95977,-5.2644243,50.721035,8.622684,40.311127,-9.114804,39.891518,5.028688,41.824936,-5.722659,34.230446,6.0311646,31.222033,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth14.wav_1.wav_5.wav,0.08545297475961539,0.002154839941735804,2179.936993120691,557599.233336462,4828.489520733173,3017647.173461442,2412.735776251278,224052.70457328123,0.19427808836852586,0.0033353597315607633,184.5703125,0.38575566,0.08742123,-7.1755905,2618.1409,105.651436,896.10156,3.2993047,307.05328,30.173521,273.4465,-1.5086924,180.28915,12.345682,79.08855,-13.4592,77.45057,6.1262927,114.676506,-7.138913,78.38287,11.198035,59.365646,-6.149481,66.917725,7.882435,40.557602,-3.749119,49.375378,2.399217,70.21769,-5.895964,39.666634,7.3494515,51.063168,-8.484463,33.113358,5.942419,32.55355,-5.3372145,35.570515,5.45726,43.572933,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth14.wav_1.wav_6.wav,0.09841120793269231,0.00392774476102118,2455.0163653308027,942998.694568596,5202.3390549879805,3756039.506060309,2540.964371127171,219715.31676735185,0.18010794218438717,0.0029488075455968107,92.28515625,0.38641044,0.089818574,-17.27888,2607.59,93.096375,1351.4559,10.037231,409.48636,30.71955,360.11862,0.16208966,163.48985,12.503712,84.24555,-14.140235,126.388626,5.885441,108.94797,-6.521987,88.00152,7.402335,50.74854,-10.081834,62.84414,5.127815,25.913513,-6.599754,39.737392,1.0596955,79.491615,-5.523316,56.48515,7.7070146,40.83379,-10.141204,47.847866,8.558491,33.20522,-4.9854326,46.84873,3.7165725,38.7172,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth14.wav_1.wav_7.wav,0.08878831129807692,0.001912442734960974,2207.0178802435867,741125.6446631699,4787.659254807692,3764047.0955299903,2453.8462914856486,258251.37875085662,0.17904670472393922,0.003870249827118454,92.28515625,0.39367247,0.084698975,-14.509681,2560.1157,108.27288,1033.8429,7.3495536,350.36942,25.659327,282.60815,-1.5806836,146.02718,13.182576,59.594593,-11.466548,87.5417,5.912106,77.144135,-10.348203,77.411316,8.9234295,47.673183,-2.685807,69.07768,8.270891,52.67385,-3.346425,44.11667,2.7196681,47.756496,-7.065235,47.50248,7.0555973,44.90209,-7.9781165,45.38032,6.7482204,28.043077,-8.737784,25.038477,2.4829361,22.303308,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth14.wav_1.wav_8.wav,0.10982196514423077,0.00437407506288156,2525.1576637022476,984740.5062878449,5471.255634014423,3962187.6256020116,2623.207907412005,287712.5337638155,0.17426644685699458,0.004285106056391146,92.28515625,0.41108295,0.084793195,-14.558583,2981.2856,95.9005,1087.6389,13.325576,627.0515,22.178389,309.43118,-4.0400314,251.00043,15.158168,90.20969,-8.340119,78.48164,7.40303,110.64891,-10.399522,61.448235,9.564913,64.08705,-5.233993,53.839767,8.729821,46.932007,-5.4265337,40.479557,0.9028291,79.20943,-7.192931,40.500534,8.196902,35.87186,-7.6767473,38.085163,6.246987,25.35886,-5.2376,39.9032,6.570442,31.111382,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth14.wav_1.wav_9.wav,0.0802471454326923,0.0021346631840135927,1983.6372350505728,660385.146573357,4142.491361177885,3023737.190292997,2249.5699070437227,196042.69365590654,0.1824615319952813,0.003439998561460571,184.5703125,0.36659768,0.09223312,-25.057192,2004.1515,115.45341,1092.7643,3.4727938,403.12357,25.8192,290.78293,-3.9930043,166.66034,11.798809,87.15,-11.830925,78.82236,2.7752807,131.7307,-8.366862,78.069916,8.61766,53.418365,-5.6253314,58.478416,8.054476,33.48726,-4.3581223,52.20973,0.70338863,71.14349,-4.8799863,68.56211,5.884064,35.153214,-7.586177,28.782661,7.407192,35.074093,-6.2059374,36.16099,4.3335104,35.70595,hiphop
D:\Music Genre\THAi3sec/Hiphop\Hiphopth15.wav_1.wav_0.wav,0.09478665865384615,0.004652573568581124,2306.875335122492,936442.185655384,4870.562086838942,3416045.5173828546,2413.675632941789,186830.49507484303,0.14474528388210633,0.007021384925602219,184.5703125,0.3857403,0.102734275,-84.88715,4478.0366,86.31564,1089.155,5.797704,518.5264,31.264942,344.51608,-7.570198,321.35522,17.658117,146.62816,-7.2547297,155.7933,12.2257185,157.41307,-6.834972,85.436165,2.077284,91.6804,1.4953493,97.51248,10.995906,68.270195,-0.36080858,74.15561,7.4854264,79.27597,-2.9636917,74.10727,11.107017,102.35932,-5.8140683,81.442406,10.586593,56.285248,-2.780445,51.402203,1.5391709,40.950146,hiphop
